Nutrient,Food class level 1,Avg (Concentration levels)
Alpha-tocopherol,"Additives,flavours, baking and processing aids",0.01
Alpha-tocopherol,Alcoholic beverages,0.02
Alpha-tocopherol,Animal and vegetable fats and oils,14.08
Alpha-tocopherol,"Coffee, cocoa, tea and infusions",0.86
Alpha-tocopherol,Composite dishes,1.12
Alpha-tocopherol,Eggs and egg products,2.07
Alpha-tocopherol,"Fish, seafood, amphibians, reptiles and invertebrates",2.05
Alpha-tocopherol,Food products for young population,1.83
Alpha-tocopherol,Fruit and fruit products,0.68
Alpha-tocopherol,Fruit and vegetable juices and nectars,1.01
Alpha-tocopherol,Grains and grain-based products,1.13
Alpha-tocopherol,Human milk,0.5
Alpha-tocopherol,"Legumes, nuts, oilseeds and spices",5.01
Alpha-tocopherol,Meat and meat products,0.44
Alpha-tocopherol,Milk and dairy products,0.36
Alpha-tocopherol,"Products for non-standard diets, food imitates and food supplements or fortifying agents",1.08
Alpha-tocopherol,"Seasoning, sauces and condiments",2.62
Alpha-tocopherol,"Starchy roots or tubers and products thereof, sugar plants",0.29
Alpha-tocopherol,"Sugar, confectionery and water-based sweet desserts",1.43
Alpha-tocopherol,Vegetables and vegetable products,0.84
Alpha-tocopherol,Water and water-based beverages,0.07
Calcium (Ca),"Additives,flavours, baking and processing aids",269.04
Calcium (Ca),Alcoholic beverages,7.24
Calcium (Ca),Animal and vegetable fats and oils,14.44
Calcium (Ca),"Coffee, cocoa, tea and infusions",103.6
Calcium (Ca),Composite dishes,59.82
Calcium (Ca),Eggs and egg products,82.7
Calcium (Ca),"Fish, seafood, amphibians, reptiles and invertebrates",50.39
Calcium (Ca),Food products for young population,149.62
Calcium (Ca),Fruit and fruit products,22.19
Calcium (Ca),Fruit and vegetable juices and nectars,20.93
Calcium (Ca),Grains and grain-based products,45.46
Calcium (Ca),Human milk,29.5
Calcium (Ca),"Legumes, nuts, oilseeds and spices",186.2
Calcium (Ca),Meat and meat products,15.92
Calcium (Ca),Milk and dairy products,402.31
Calcium (Ca),"Products for non-standard diets, food imitates and food supplements or fortifying agents",133.44
Calcium (Ca),"Seasoning, sauces and condiments",110.39
Calcium (Ca),"Starchy roots or tubers and products thereof, sugar plants",21.77
Calcium (Ca),"Sugar, confectionery and water-based sweet desserts",106.07
Calcium (Ca),Vegetables and vegetable products,67.49
Calcium (Ca),Water and water-based beverages,9.12
Copper (Cu),"Additives,flavours, baking and processing aids",0.09
Copper (Cu),Alcoholic beverages,0.04
Copper (Cu),Animal and vegetable fats and oils,0.01
Copper (Cu),"Coffee, cocoa, tea and infusions",0.64
Copper (Cu),Composite dishes,0.12
Copper (Cu),Eggs and egg products,0.17
Copper (Cu),"Fish, seafood, amphibians, reptiles and invertebrates",0.31
Copper (Cu),Food products for young population,0.12
Copper (Cu),Fruit and fruit products,0.11
Copper (Cu),Fruit and vegetable juices and nectars,0.06
Copper (Cu),Grains and grain-based products,0.21
Copper (Cu),Human milk,0.04
Copper (Cu),"Legumes, nuts, oilseeds and spices",0.69
Copper (Cu),Meat and meat products,0.52
Copper (Cu),Milk and dairy products,0.07
