Country,Number of Burger King Restaurants
Spain,701
Russia,802
Germany,758
Turkey,747
United Kingdom,530
France,469
Italy,262
Portugal,168
Sweden,117
Poland,100
Norway,87
Switzerland,77
Netherlands,62
Finland,60
Hungary,59
Austria,56
Denmark,53
Czechia,51
Ireland,47
Belgium,44
Belarus,35
Romania,25
Kosovo,14
Albania,11
Cyprus,10
Croatia,8
Estonia,8
Northern Cyprus,8
Slovakia,8
Luxembourg,7
North Macedonia,7
Malta,7
Andorra,5
Armenia,5
Georgia,5
Lithuania,5
Bosnia and Herzegovina,4
Greece,4
Latvia,4
Montenegro,4
Bulgaria,3
Faroe Islands,1
Gibraltar,1
Jersey,1
United States,6627
Slovenia,1
