Country,Population,Area_km2,BurgerKing_Count,McDonalds_Count,Total_FastFood_Count,FastFood_per_100k,FastFood_density_per_1000km2,Pop_Density,Consumo_Alcoholic_beverages,Consumo_Animal_and_vegetable_fats_and_oils,Consumo_Composite_food_including_frozen_products,Consumo_Drinking_water_water_without_any_additives_except,Consumo_Eggs_and_egg_products,Consumo_Fish_and_other_seafood_including_amphibians_rept,Consumo_Fruit_and_fruit_products,Consumo_Fruit_and_vegetable_juices,Consumo_Grains_and_grain-based_products,Consumo_Herbs_spices_and_condiments,Consumo_Legumes_nuts_and_oilseeds,Consumo_Meat_and_meat_products_including_edible_offal,Consumo_Milk_and_dairy_products,Consumo_Non-alcoholic_beverages_excepting_milk_based_beve,Consumo_Snacks_desserts_and_other_foods,Consumo_Starchy_roots_and_tubers,Consumo_Sugar_and_confectionary,Consumo_Vegetables_and_vegetable_products_including_fungi,GDP_2017,Obesity_Rate_Europe,Physical_Activity_4plus_times,US_Obesity_Reference
Austria,8184691.0,83870.0,56.0,199.0,255.0,3.12,3.04,97.0,7.02,0.4,5.13,21.01,0.88,2.22,3.3,4.58,4.86,0.56,0.89,2.39,2.86,10.24,1.4,2.11,0.42,2.3,2.3,49.1,8.3,42.5
Belgium,10364388.0,30528.0,44.0,111.0,155.0,1.5,5.08,339.0,6.64,0.53,3.82,11.09,0.69,1.54,2.92,3.68,3.34,0.71,1.23,1.94,2.95,9.97,1.5,2.46,0.57,2.17,1.5,47.7,13.7,42.5
Bulgaria,7450349.0,110910.0,3.0,42.0,45.0,0.6,0.41,67.0,4.84,0.56,1.81,5.85,0.59,2.91,2.66,4.46,4.06,0.18,0.99,1.92,3.53,4.25,2.82,2.51,0.41,2.91,2.7,58.6,2.4,42.5
Cyprus,780133.0,9250.0,10.0,24.0,34.0,4.36,3.68,84.0,8.93,0.23,4.56,6.46,0.74,2.33,3.99,4.07,3.41,0.26,3.08,2.19,5.26,6.92,1.34,3.26,0.66,2.74,5.8,51.7,10.1,42.5
Czechia,10241138.0,78866.0,51.0,119.0,170.0,1.66,2.16,129.0,7.21,0.94,2.51,20.74,0.65,2.7,5.33,9.36,5.93,0.45,0.55,3.63,7.15,11.62,2.62,3.87,1.06,2.47,5.2,62,11.2,42.5
Denmark,5432335.0,43094.0,53.0,260.0,313.0,5.76,7.26,126.0,8.13,0.6,0.99,16.12,0.45,0.85,3.97,3.53,4.04,0.23,0.34,2.3,8.96,12.27,1.15,2.82,0.87,3.13,3.1,53.6,14.0,42.5
Estonia,1332893.0,45226.0,8.0,11.0,19.0,1.43,0.42,29.0,10.07,0.49,1.95,4.64,0.7,1.82,2.63,3.71,2.56,0.18,0.57,2.6,5.07,6.35,2.16,3.7,0.46,3.02,5.6,55.7,7.6,42.5
Finland,5223442.0,338145.0,60.0,140.0,200.0,3.83,0.59,15.0,6.78,0.42,1.16,10.73,0.51,1.5,3.03,4.14,3.98,0.27,0.57,1.67,5.6,8.76,1.19,1.53,0.32,2.09,3.3,60.6,11.5,42.5
France,60656178.0,547030.0,469.0,1588.0,2057.0,3.39,3.76,110.0,3.39,0.6,1.43,14.64,1.03,1.89,3.95,4.07,4.44,0.43,2.07,2.64,6.18,7.89,2.08,2.62,0.81,2.96,2.1,45.2,7.6,42.5
Germany,82431390.0,357021.0,758.0,1367.0,2125.0,2.58,5.95,230.0,7.34,0.37,3.0,14.5,0.7,1.61,3.49,6.97,3.27,0.79,0.79,1.6,2.93,11.8,1.56,1.99,0.52,1.92,2.7,54.5,9.22,42.5
Greece,10668354.0,131940.0,4.0,32.0,36.0,0.34,0.27,80.0,3.65,0.4,4.42,2.31,0.47,3.1,2.52,4.13,2.91,0.34,1.18,1.95,5.94,3.38,1.58,2.14,0.53,3.27,1.5,54.2,5.0,42.5
Hungary,10084000.0,93030.0,59.0,111.0,170.0,1.69,1.83,108.0,4.36,0.62,1.24,6.24,0.46,2.19,3.65,1.14,3.36,0.21,0.67,2.49,4.14,4.92,1.33,3.13,0.5,2.31,4.1,55.5,5.2,42.5
Ireland,4015676.0,70280.0,47.0,95.0,142.0,3.54,2.02,57.0,8.77,0.36,0.83,8.83,0.77,1.79,2.14,2.11,3.65,0.44,0.67,2.48,3.75,9.26,1.08,2.33,0.34,2.05,10,55.7,17.0,42.5
Italy,58103033.0,301230.0,262.0,709.0,971.0,1.67,3.22,192.0,1.16,0.92,7.16,22.92,1.34,4.09,7.27,6.36,6.23,0.25,2.23,3.33,19.35,7.96,2.0,3.22,0.84,4.37,1.6,39.8,4.8,42.5
Latvia,2290237.0,64589.0,4.0,14.0,18.0,0.79,0.28,35.0,6.06,0.47,6.18,7.97,1.48,1.82,5.18,5.33,4.44,1.17,1.76,2.93,4.41,9.36,2.38,3.7,0.91,3.17,3.4,56.3,3.1,42.5
Netherlands,17100475.0,41528.0,62.0,263.0,325.0,1.9,7.83,406.0,5.79,0.57,3.53,11.1,0.81,1.69,3.18,5.52,4.16,0.74,0.86,2.18,7.59,14.18,2.4,3.66,0.8,2.61,2.8,46.4,23.2,42.5
Poland,38635144.0,312685.0,100.0,546.0,646.0,1.67,2.07,123.0,4.5,1.01,1.39,6.9,1.01,2.35,8.77,8.5,6.19,0.2,1.07,4.91,10.28,12.91,3.25,6.85,1.53,4.5,5.2,55.3,4.8,42.5
